Filename,Tempo,Arousal,IsMajor,isMinor,IsDissonant,Theme
LOVE016G.wav,2,2,1,0,0,sadness
CALM005G.wav,2,2,1,0,0,love
FEARFUL008F.wav,2,2,0,1,0,bravery
SADNESS003G.wav,2,2,1,0,0,
CALMF016.wav,2,2,0,0,1,
CHEERFUL011G.wav,1,1,1,0,0,love
LOVE026G.wav,2,2,1,0,0,cheerful
SADNESSF009.wav,2,2,0,1,0,sadness
CALM006G.wav,2,1,0,1,0,calm
CHEERFUL018G.wav,1,1,1,0,0,fearful
FEARFUL031G.wav,2,2,0,1,0,calm
SADNESS009G.wav,2,2,0,1,0,love
CALMF008.wav,2,1,1,0,0,
BRAVERY026G.wav,1,1,1,0,0,bravery
CHEERFUL004G.wav,1,2,1,0,0,love
LOVE027G.wav,2,1,1,0,0,cheerful
CHEERFUL008G.wav,1,1,0,1,0,love
CALMF032.wav,2,2,1,0,0,
LOVE014G.wav,1,1,0,0,1,fearful
CALM019G.wav,1,1,1,0,0,calm
CHEERFUL019G.wav,1,2,1,0,0,cheerful
BRAVERY028G.wav,1,1,1,0,0,fearful
CALMF005.wav,2,2,0,1,0,love
BRAVERY002G.wav,2,2,0,0,1,fearful
CHEERFUL031G.wav,2,1,0,0,0,fearful
LOVE036G.wav,2,2,0,1,0,fearful
CHEERFUL056G.wav,1,2,0,1,0,bravery
FEARFUL014G.wav,1,1,1,0,0,cheerful
CHEERFUL048G.wav,1,2,1,0,0,calm
LOVE055G.wav,2,2,1,0,0,love
LOVE051G.wav,2,1,0,1,0,calm
BRAVERY022G.wav,2,1,1,0,0,sadness
LOVE050G.wav,1,1,1,0,0,
BRAVERY009G.wav,2,2,0,0,1,calm
LOVE017G.wav,2,1,1,0,0,sadness
LOVE018G.wav,2,1,1,0,0,
CHEERFUL039G.wav,1,1,1,0,0,fearful
SADNESS020G.wav,2,2,1,0,0,cheerful
CHEERFUL028G.wav,1,2,0,0,1,calm
BRAVERY006E.wav,1,1,1,0,0,cheerful
BRAVERYF018.wav,1,1,0,0,1,bravery
CALMF026.wav,2,2,0,0,1,bravery
FEARFUL034G.wav,2,2,0,1,0,sadness
CALMF009.wav,2,2,1,0,0,sadness
LOVE059G.wav,2,2,1,0,0,love
SADNESS021G.wav,2,2,0,1,0,love
SADNESSF002.wav,2,2,0,1,0,sadness
LOVE001F.wav,2,2,1,0,0,love
CALMF021.wav,2,2,1,0,0,calm
CHEERFUL047G.wav,1,1,1,0,0,cheerful
SADNESS010G.wav,2,1,1,0,0,cheerful
BRAVERY008E.wav,1,1,0,1,0,love
CHEERFUL035G.wav,1,1,1,0,0,fearful
FEARFUL017G.wav,1,1,0,1,0,cheerful
CHEERFUL006G.wav,1,1,0,1,0,fearful
BRAVERY002E.wav,1,1,0,1,0,cheerful
CHEERFUL027G.wav,2,1,1,0,0,bravery
CHEERFUL053G.wav,1,1,1,0,0,love
BRAVERYF011.wav,1,1,1,0,0,cheerful
BRAVERY003E.wav,1,1,0,1,0,fearful
FEARFUL023G.wav,1,1,0,1,0,bravery
FEARFUL011F.wav,1,1,0,1,0,fearful
LOVE046G.wav,2,2,0,1,0,fearful
FEARFUL009F.wav,1,1,0,1,0,sadness
CALMF010.wav,2,2,1,0,0,fearful
BRAVERY001G.wav,1,1,0,0,1,love
FEARFUL019F.wav,1,1,0,1,0,fearful
FEARFUL017F.wav,1,1,0,1,0,bravery
FEARFUL002F.wav,1,1,0,1,0,bravery
CALMF028.wav,2,1,0,0,1,fearful
LOVE057G.wav,2,2,0,1,0,love
LOVE047G.wav,2,2,0,1,0,calm
FEARFUL015G.wav,1,1,0,1,0,sadness
BRAVERY019G.wav,1,1,0,1,0,fearful
LOVE011G.wav,1,1,1,0,0,bravery
FEARFUL030G.wav,2,1,0,1,0,love
FEARFUL029G.wav,1,2,0,0,1,fearful
LOVE038G.wav,2,2,0,1,0,fearful
SADNESS007G.wav,2,2,0,1,0,calm
BRAVERY006F.wav,2,1,0,1,0,calm
BRAVERY016G.wav,1,1,1,0,0,fearful
BRAVERYF014.wav,1,1,0,1,0,fearful
LOVE008G.wav,2,1,0,1,0,bravery
LOVE056G.wav,1,1,1,0,0,love
BRAVERY017G.wav,1,1,0,1,0,cheerful
CALM001G.wav,2,2,1,0,0,fearful
CALM016G.wav,2,2,1,0,0,love
BRAVERY007E.wav,1,1,1,0,0,calm
CALMF036.wav,2,1,1,0,0,bravery
LOVE003G.wav,2,1,1,0,0,love
LOVE040G.wav,2,1,1,0,0,love
CHEERFUL002G.wav,1,1,0,1,0,calm
SADNESS008G.wav,2,2,1,0,0,cheerful
CALMF006.wav,1,1,1,0,0,love
CALMF037.wav,2,2,1,0,0,love
FEARFUL021G.wav,2,1,0,1,0,calm
FEARFUL014F.wav,2,1,0,1,0,fearful
BRAVERY005G.wav,2,2,0,0,1,fearful
BRAVERY003F.wav,1,1,0,1,0,calm
BRAVERY006G.wav,1,1,1,0,0,bravery
CALMF019.wav,2,2,1,0,0,calm
CALMF011.wav,1,1,0,0,1,cheerful
CALMF030.wav,1,1,1,0,0,cheerful
BRAVERY001F.wav,1,1,1,0,0,bravery
BRAVERY024G.wav,1,1,1,0,0,love
LOVE013G.wav,1,1,1,0,0,calm
CHEERFUL040G.wav,1,1,0,0,1,cheerful
CALMF018.wav,2,2,0,1,0,love
BRAVERY030G.wav,2,2,1,0,0,fearful
FEARFUL012F.wav,1,1,1,0,0,fearful
SADNESS019G.wav,2,1,0,1,0,
BRAVERY018G.wav,1,1,1,0,0,bravery
SADNESS015G.wav,2,1,0,1,0,
LOVE004G.wav,2,2,1,0,0,calm
CALM004G.wav,1,2,1,0,0,love
BRAVERY008G.wav,1,1,1,0,0,bravery
LOVE030G.wav,2,1,1,0,0,love
LOVE020G.wav,2,2,0,0,1,sadness
FEARFUL033G.wav,2,2,1,0,0,sadness
SADNESSF016.wav,2,1,1,0,0,
CALM011G.wav,1,1,1,0,0,cheerful
CALMF034.wav,2,2,1,0,0,love
SADNESSF001.wav,2,1,1,0,0,
CALMF022.wav,1,2,1,0,0,cheerful
SADNESS023G.wav,2,1,1,0,0,
FEARFUL036G.wav,2,1,1,0,0,fearful
LOVE041G.wav,2,2,1,0,0,calm
LOVE015G.wav,2,2,1,0,0,love
CHEERFUL022G.wav,1,1,1,0,0,cheerful
LOVE048G.wav,2,2,1,0,0,calm
FEARFUL026G.wav,2,1,0,1,0,fearful
CALMF013.wav,2,2,0,0,1,calm
CHEERFUL026G.wav,2,1,1,0,0,
CHEERFUL037G.wav,1,1,1,0,0,cheerful
CALM020G.wav,1,2,1,0,0,calm
BRAVERY009F.wav,2,2,0,1,0,fearful
LOVE010G.wav,2,2,1,0,0,love
BRAVERYF012.wav,1,1,0,1,0,fearful
CALMF014.wav,2,2,0,0,1,calm
CALM015G.wav,2,2,1,0,0,love
SADNESS006G.wav,2,1,1,0,0,
LOVE043G.wav,2,2,0,1,0,calm
CHEERFUL024G.wav,2,2,0,1,0,cheerful
BRAVERY004G.wav,2,2,0,0,1,sadness
CALM018G.wav,2,2,1,0,0,calm
SADNESS001G.wav,2,1,1,0,0,
LOVE029G.wav,2,2,1,0,0,love
LOVE037G.wav,1,1,0,1,0,bravery
CHEERFUL051G.wav,2,2,1,0,0,love
BRAVERY021G.wav,2,2,0,1,0,fearful
CALMF031.wav,2,2,1,0,0,calm
CALMF027.wav,1,2,0,0,1,love
SADNESSF011.wav,2,1,1,0,0,
FEARFUL007G.wav,1,1,0,1,0,bravery
FEARFUL003F.wav,2,2,0,1,0,fearful
LOVE028G.wav,2,2,0,1,0,calm
BRAVERY004F.wav,2,2,0,1,0,fearful
BRAVERY008F.wav,2,2,0,1,0,fearful
FEARFUL016F.wav,2,1,0,1,0,fearful
LOVE052G.wav,1,1,1,0,0,cheerful
LOVE024G.wav,2,1,1,0,0,
SADNESSF012.wav,2,1,1,0,0,
LOVE009G.wav,2,2,1,0,0,calm
CALMF025.wav,2,2,0,0,1,love
CALM007G.wav,2,2,0,1,0,calm
LOVE025G.wav,2,2,0,1,0,sadness
LOVE039G.wav,2,2,1,0,0,love
CALM014G.wav,1,2,0,1,0,bravery
SADNESSF006.wav,2,1,1,0,0,
SADNESSF014.wav,2,1,1,0,0,
LOVE012G.wav,2,2,1,0,0,love
CHEERFUL017G.wav,1,1,1,0,0,cheerful
CALMF001.wav,2,2,1,0,0,sadness
CALMF023.wav,2,2,1,0,0,calm
FEARFUL025G.wav,2,1,0,1,0,fearful
LOVE032G.wav,2,2,0,1,0,calm
CALMF029.wav,2,2,0,0,1,love
SADNESSF015.wav,2,1,1,0,0,
FEARFUL005G.wav,1,1,0,1,0,bravery
CALMF020.wav,2,2,1,0,0,love
BRAVERY010E.wav,1,2,1,0,0,cheerful
CHEERFUL057G.wav,2,2,1,0,0,love
SADNESSF003.wav,2,1,1,0,0,
FEARFUL020G.wav,2,1,0,1,0,fearful
CHEERFUL058G.wav,1,2,0,1,0,calm
CHEERFUL046G.wav,2,2,0,1,0,cheerful
FEARFUL027G.wav,1,1,0,1,0,fearful
CALM010G.wav,2,2,1,0,0,love
FEARFUL005F.wav,2,1,0,1,0,fearful
FEARFUL003G.wav,1,2,0,1,0,fearful
FEARFUL019G.wav,1,1,0,1,0,fearful
BRAVERY023G.wav,2,1,0,1,0,bravery
CHEERFUL005G.wav,1,1,0,1,0,cheerful
CALMF003.wav,2,2,1,0,0,calm
LOVE035G.wav,2,2,1,0,0,love
CHEERFUL034G.wav,2,2,1,0,0,calm
LOVE019G.wav,2,2,1,0,0,sadness
SADNESSF013.wav,2,1,1,0,0,
CHEERFUL001G.wav,2,1,1,0,0,calm
BRAVERY012G.wav,2,2,0,1,0,sadness
SADNESSF004.wav,2,1,1,0,0,
FEARFUL018F.wav,2,1,0,1,0,fearful
LOVE053G.wav,1,2,0,1,0,cheerful
CALMF038.wav,2,2,1,0,0,calm
CALMF007.wav,2,2,1,0,0,calm
FEARFUL013G.wav,2,2,0,1,0,fearful
CHEERFUL050G.wav,1,1,1,0,0,cheerful
LOVE054G.wav,2,2,0,1,0,sadness
CHEERFUL009G.wav,1,1,1,0,0,cheerful
LOVE031G.wav,2,2,0,1,0,sadness
FEARFUL007F.wav,2,1,1,0,0,fearful
BRAVERY011E.wav,1,1,0,1,0,bravery
SADNESSF005.wav,2,1,1,0,0,
SADNESS016G.wav,2,1,1,0,0,
LOVE042G.wav,1,1,1,0,0,love
BRAVERY014G.wav,1,1,1,0,0,bravery
BRAVERY013G.wav,1,1,1,0,0,bravery
FEARFUL001F.wav,2,2,1,0,0,fearful
CHEERFUL029G.wav,1,1,0,1,0,cheerful
BRAVERY025G.wav,1,1,0,1,0,cheerful
FEARFUL024G.wav,1,1,0,1,0,fearful
FEARFUL015F.wav,2,2,0,1,0,fearful
CHEERFUL020G.wav,1,1,1,0,0,cheerful
CHEERFUL021G.wav,1,1,1,0,0,cheerful
FEARFUL004F.wav,1,1,0,1,0,fearful
CALMF012.wav,2,2,0,0,1,fearful
LOVE006G.wav,2,2,1,0,0,love
FEARFUL032G.wav,1,1,0,1,0,love
BRAVERY002F.wav,1,1,0,1,0,fearful
SADNESS011G.wav,2,1,1,0,0,fearful
CHEERFUL045G.wav,1,1,0,0,1,cheerful
CHEERFUL030G.wav,2,2,0,0,1,cheerful
BRAVERYF016.wav,1,1,0,1,0,bravery
CHEERFUL032G.wav,1,1,1,0,0,cheerful
BRAVERYF019.wav,2,1,1,0,0,bravery
CHEERFUL049G.wav,1,1,1,0,0,bravery
BRAVERY007F.wav,2,1,1,0,0,fearful
BRAVERYF017.wav,1,1,1,0,0,bravery
FEARFUL009E,2,1,0,1,0,fearful
CALM004E,2,2,1,0,0,calm
CHEERFUL004F,1,1,1,0,0,cheerful
LOVE007E,2,2,1,0,0,love
FEARFUL014E,1,1,0,1,0,fearful
FEARFUL001E,1,2,0,1,0,fearful
SADNESS003E,2,1,1,0,0,
SADNESS006E,2,1,1,0,0,
BRAVERY021E,1,1,1,0,0,fearful
CHEERFUL007F,2,2,1,0,0,cheerful
CALM007E,2,2,1,0,0,cheerful
CALM013E,2,2,1,0,0,calm
BRAVERY013E,1,1,1,0,0,fearful
CALM012E,2,2,1,0,0,calm
FEARFUL004E,1,1,1,0,0,bravery
CHEERFUL008F,2,2,1,0,0,cheerful
LOVE003F,2,2,1,0,0,calm
LOVE003E,2,2,1,0,0,love
CHEERFUL012F,2,2,1,0,0,calm
LOVE013E,2,2,1,0,0,calm
CHEERFUL001F,2,2,0,0,1,cheerful
LOVE011E,2,1,1,0,0,love
CHEERFUL03F,1,2,1,0,0,cheerful
FEARFUL008E,1,1,0,1,0,fearful
FEARFUL010E,1,1,1,0,0,bravery
FEARFUL005E,1,1,1,0,0,bravery
FEARFUL002E,1,1,1,0,0,bravery
LOVE002E,2,2,1,0,0,sadness
LOVE006E,2,2,1,0,0,calm
CALM005E,2,2,1,0,0,love
CALM009E,1,1,1,0,0,calm
LOVE002F,2,1,0,1,0,sadness
CHEERFUL002E,1,2,1,0,0,cheerful
CALM010E,2,2,1,0,0,calm
LOVE008E,2,2,1,0,0,love
CHEERFUL002F,1,1,1,0,0,cheerful
CALM002E,2,2,1,0,0,love
LOVE010E,2,2,1,0,0,love
BRAVERY017E,1,1,1,0,0,bravery
SADNESS004E,2,1,1,0,0,
LOVE012E,2,2,1,0,0,love
CHEERFUL006F,2,2,1,0,0,calm
CHEERFUL013F,1,2,1,0,0,cheerful
CALM006E,2,2,1,0,0,cheerful
SADNESS002E,2,1,1,0,0,
LOVE001E,2,2,1,0,0,calm
FEARFUL015E,1,1,0,1,0,fearful
FEARFUL007E,2,1,0,1,0,fearful
FEARFUL013E,2,2,0,1,0,fearful
CHEERFUL005F,1,1,1,0,0,cheerful
BRAVERY022E,1,1,1,0,0,bravery
BRAVERY012E,2,1,1,0,0,cheerful
SADNESS005E,2,1,1,0,0,
CHEERFUL010F,1,1,1,0,0,cheerful
CALM011E,2,2,1,0,0,calm
FEARFUL003E,1,1,0,1,0,fearful
LOVE009E,2,2,1,0,0,love
LOVE005E,2,2,1,0,0,calm
BRAVERY016E,1,1,0,1,0,bravery
BRAVERY024E,1,1,0,1,0,fearful
FEARFUL012E,1,1,0,1,0,fearful
CALM015E,2,2,1,0,0,calm
CHEERFUL011F,1,1,1,0,0,cheerful
CHEERFUL009F,2,2,1,0,0,bravery
BRAVERY014E,1,1,1,0,0,bravery
CALM008E,2,2,1,0,0,love
BRAVERY018E,1,1,1,0,0,bravery
CALM001E,1,2,1,0,0,love
CALM003E,2,2,1,0,0,calm
CALM014E,2,2,0,1,0,cheerful
FEARFUL011E,2,1,1,0,0,fearful
BRAVERY015E,1,1,1,0,0,bravery
BRAVERY023E,1,1,1,0,0,bravery
CHEERFUL001E,1,1,1,0,0,cheerful
FEARFUL006E,1,1,1,0,0,bravery
BRAVERY019E,1,1,1,0,0,bravery
LOVE004E,2,2,1,0,0,sadness
